#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,curl, "command line tool and library for transferring data with URLs"
,ca-certificates, "certificate authorities"
,base-devel,"Basic tools to build Arch Linux packages"
,git,"version control system"
,ntp, "network time protocol"
,wget,"Network utility to retrieve files from the Web"
,nano,"Pico editor clone with enhancements"
,zsh,"A very advanced and programmable command interpreter (shell) for UNIX"
,libx11,"dependecies for dusk below. X11 client-side library"
,libxcb,"X11 client-side library"
,libxinerama,"X11 Xinerama extension library"
,libxft,"FreeType-based font drawing library for X"
,imlib2,"Library that does image file loading and saving as well as rendering, manipulation, arbitrary polygon support"
,yajl,"Yet Another JSON Library"
,libxfixes,"X11 miscellaneous 'fixes' extension library"
,libxi,"X11 Input extension library"
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,polkit,"manages user policies."
,libertinus-font,"provides the sans and serif fonts for LARBS."
,ttf-liberation, Font family which aims at metric compatibility with Arial, Times New Roman, and Courier New"
,ttf-font-awesome,"provides extended glyph support."
,ttf-dejavu,"properly displays emojis."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,ueberzug,"enables previews in the lf file manager."
,bc,"is a mathematics language used for the dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,calcurse,"terminal-based organizer for interactive and command line use"
,exfat-utils,"allows management of FAT drives."
,nsxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
A,brave-bin,"brave - web browser that blocks ads and trackers by default "
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,noise-suppression-for-voice,"noise suppresion"
,pulsemixer,"is an audio controller."
,pavucontrol,"gui PulseAudio Volume Control"
,xorg-xkill, "Kill a client by its X resource"
A,visual-studio-code-bin, "VSCode"
,kitty, "terminal"
A,shell-color-scripts, "collection of terminal color scripts. included 52 beautiful terminal color scripts"
,pcmanfm-gtk3, "fast and lightweight file manager and the file manager"
,file-roller, "archives"
,gvfs, "trash support"
,udiskie, "disk automount"
,breeze, "qt theme"
A,adw-gtk3, "adwaita port to gtk3"
,rofi, "window switcher"
A,xmenu, "context menu support"
,discord, "voice and text chat"
,telegram-desktop, "messanger"
,lib32-nvidia-utils, "vulkan driver variant for nvidia"
,steam, "games store"
A,proton-ge-custom-bin, "patched proton"
,gamemode, "set of optimisations be temporarily applied to the host OS"
,maim,"can take quick screenshots at your request."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,unrar,"unrar rars."
,lynx,"is a terminal browser also used in LARBS for generating in-terminal previews of websites, emails and HTML files."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
A,youtube-music-bin,"YouTube Music Desktop App bundled with custom plugins (and built-in ad blocker / downloader)"
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,zsh-history-substring-search, "part command search"
A,zsh-autosuggestions, "suggests commands as you type based on history and completions"
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
G,https://github.com/bakkeby/dmenu.git,"pathed  bakkery's dmenu runs commands and provides a UI for selection."
G,https://github.com/bakkeby/st-flexipatch.git,"st-flexipatch custom build of suckless's terminal emulator."
G,https://github.com/lzhecz/dusk.git,"my config of dusk wm "
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
